Termékcsoport;Cikkszám;Vonalkód;Megnevezés;Kiszerelés;;Nagyker nettó ár;Áfa;Nagyker bruttó ár;VTSZ;Státusz
Reformélelmiszer,élvezeti tea;19854;6901118707017;DR.CHEN TEA EREDETI KÍNAI ZÖLD TEA FILTERES 20DB;20.000;db;254;27;323;902100000;
Reformélelmiszer,élvezeti tea;42771;6901317144491;SZÁLAS FEKETE TEA VANÍLIAVIRÁGGAL 100G;100;g;460;27;584;090220000;
Reformélelmiszer,élvezeti tea;37297;6901317245709;ZÖLD TEA LICSI GYÜMÖLCCSEL SZÁLAS 100G;100;g;500;27;635;090220000;
Reformélelmiszer,élvezeti tea;37255;6901317543058;GOLDEN SAIL TEA KÍNAI PU-ERH FILTERES 20X2G;40.000;g;287;27;365;2106909260;
Reformélelmiszer,élvezeti tea;10031;026395200320;LILY ALOE VERA GÉL WHOLE LEAF 946ML;946.000;ml;2 677;27;3 400;1302193000;
Reformélelmiszer,élvezeti tea;43897;4770107244626;INSTANT ZABKÁSA ALMÁS 70G;70;g;175;18;206;19049080;
Reformélelmiszer,élvezeti tea;13181;4791003461931;STASSEN JÁZMINOS ZÖLD TEA FILTERES 25DB;25.000;db;347;27;441;902100000;
Reformélelmiszer,élvezeti tea;12311;4792175074820;MLESNA ZÖLD TEA EPRES 50DB;50.000;db;828;27;1 052;902200000;
Reformélelmiszer,élvezeti tea;12314;4792175074905;MLESNA ZÖLD TEA SOURSOP 50DB;50.000;db;828;27;1 052;902200000;
Reformélelmiszer,élvezeti tea;33183;5411188110842;ALPRO MOGYORÓITAL 1000ML;1000.000;ml;546;27;694;22029010;
Reformélelmiszer,élvezeti tea;40528;5412514931117;POCO LOCO LÁGY TORTILLA KUKORICÁS 320G;320;g;403;18;475;19059090;
Reformélelmiszer,élvezeti tea;42770;6901317144507;SZÁLAS FEKETE TEA ÁFONYA GYÜMÖLCCSEL 100G;100;g;610;27;774;090220000;
Reformélelmiszer,élvezeti tea;37254;6901317431393;GOLDEN SAIL TEA KÍNAI OOLONG FILTERES 20X2G;40.000;g;287;27;365;2101209810;
Reformélelmiszer,élvezeti tea;36612;5998219300446;ZÖLDVÉR KOMBUCHA KONCENTRÁTUM INULINNAL, SZEGFŰSZEGGEL 500ML;500.000;ml;1 099;27;1 396;2106;
Reformélelmiszer,élvezeti tea;10693;3858884601892;JANA ÁSVÁNYVÍZ BABY SZÉNSAVMENTES 1000ML;1000.000;ml;173;27;219;220110111;
Reformélelmiszer,élvezeti tea;44638;3858890872323;JANA VITAMIN CITROM ÍZŰ SZÉNSAVMENTES ÜDÍTŐITAL 500ML;500;ml;205;27;261;220110111;
Reformélelmiszer,élvezeti tea;44637;3858890872354;JANA VITAMIN ALMA-MÁLNA ÍZŰ SZÉNSAVMENTES ÜDÍTŐITAL 500ML;500;ml;205;27;261;220110111;
Reformélelmiszer,élvezeti tea;33195;4004192001490;DR.STEINBERGER  VITESSE A GYOMORBARÁT 750ML;750.000;ml;1 012;27;1 285;20099059;
Reformélelmiszer,élvezeti tea;30983;4006040272816;BIO RAPUNZEL CROSSIES TELJESKIŐRLÉSŰ LEVESBETÉT 150G;150.000;g;586;18;692;1904109000;
Reformélelmiszer,élvezeti tea;11280;4006040300946;BIO RAPUNZEL JÓDTARTALMÚ TENGERI SÓ ALGÁS 500G;500.000;g;595;27;756;2103909000;
Reformélelmiszer,élvezeti tea;37578;4010160005254;HÜBNER GYÖMBÉRES CUKORKA 75G;75;g;539;27;684;17049071;
